time,speed
16,0.000000
33,0.000000
100,0.000000
150,0.000000
200,0.000000
245,0.000000
300,0.000000
367,0.000000
417,0.000000
467,0.000000
517,0.000000
567,0.000000
633,0.000000
683,0.000000
750,0.000000
800,0.000000
850,0.000000
900,0.000000
951,0.000000
1001,0.000000
1067,0.000000
1102,0.000000
1167,0.000000
1217,0.000000
1284,0.000000
1334,0.000000
1401,0.000000
1451,0.000000
1501,0.000000
1567,0.000000
1618,0.000000
1668,0.000000
1734,0.000000
1785,0.000000
1851,0.000000
1901,0.000000
1951,0.000000
2014,0.000000
2051,0.000000
2118,0.000000
2168,0.000000
2218,0.000000
2268,0.000000
2335,0.000000
2385,0.000000
2435,0.000000
2485,0.000000
2536,0.000000
2582,0.000000
2652,0.000000
2702,0.000000
2752,0.000000
2818,0.000000
2868,0.000000
2919,0.000000
2969,0.000000
3019,0.000000
3085,0.000000
3135,0.000000
3186,0.000000
3252,0.000000
3302,0.000000
3369,0.000000
3419,0.000000
3486,0.000000
3536,0.000000
3603,0.000000
3653,0.000000
3702,0.000000
3769,0.000000
3819,0.000000
3886,0.000000
3936,0.000000
3986,0.000000
4036,0.000000
4103,0.000000
4153,0.000000
4203,0.000000
4270,0.000000
4320,0.000000
4386,0.000000
4436,0.000000
4503,0.000000
4553,0.000000
4603,0.000000
4670,0.000000
4720,0.000000
4787,0.000000
4837,0.000000
4887,0.000000
4954,0.000000
5003,0.000000
5070,0.000000
5120,0.000000
5187,0.000000
5237,0.000000
5304,1.000000
5354,3.000000
5404,5.000000
5471,7.000000
5521,9.000000
5587,11.000000
5637,13.000000
5687,14.000000
5754,17.000000
5804,18.000000
5854,20.000000
5921,22.000000
5971,24.000000
6021,26.000000
6071,28.000000
6138,30.000000
6188,31.000000
6255,32.000000
6305,32.000000
6355,32.000000
6405,31.000000
6471,31.000000
6522,31.000000
6588,31.000000
6638,31.000000
6688,31.000000
6738,30.000000
6805,30.000000
6855,30.000000
6922,31.000000
6970,32.000000
7039,33.000000
7090,35.000000
7140,36.000000
7205,37.000000
7255,39.000000
7306,40.000000
7355,42.000000
7422,44.000000
7472,45.000000
7519,47.000000
7572,48.000000
7639,50.000000
7689,52.000000
7756,54.000000
7806,56.000000
7856,57.000000
7923,60.000000
7973,62.000000
8023,64.000000
8073,66.000000
8140,69.000000
8190,71.000000
8240,73.000000
8306,76.000000
8357,78.000000
8407,81.000000
8473,83.000000
8524,86.000000
8573,88.000000
8640,91.000000
8690,93.000000
8757,96.000000
8816,98.000000
8873,101.000000
8923,103.000000
8990,106.000000
9040,108.000000
9090,111.000000
9140,113.000000
9207,114.000000
9257,114.000000
9307,115.000000
9357,117.000000
9407,119.000000
9474,123.000000
9524,126.000000
9574,128.000000
9641,132.000000
9691,134.000000
9757,137.000000
9808,138.000000
9858,139.000000
9924,139.000000
9974,139.000000
10041,139.000000
10092,141.000000
10141,143.000000
10208,147.000000
10258,150.000000
10324,154.000000
10375,157.000000
10425,160.000000
10491,163.000000
10541,166.000000
10591,169.000000
10658,172.000000
10708,174.000000
10775,174.000000
10826,176.000000
10892,180.000000
10942,182.000000
10992,185.000000
11042,187.000000
11109,191.000000
11158,193.000000
11225,196.000000
11275,198.000000
11325,200.000000
11393,202.000000
11423,203.000000
11492,206.000000
11542,208.000000
11592,209.000000
11642,211.000000
11709,211.000000
11759,211.000000
11826,211.000000
11876,211.000000
11943,211.000000
11976,211.000000
12026,211.000000
12093,211.000000
12143,211.000000
12193,211.000000
12260,211.000000
12294,211.000000
12360,211.000000
12410,211.000000
12460,211.000000
12526,211.000000
12576,211.000000
12627,211.000000
12693,211.000000
12743,211.000000
12793,211.000000
12860,214.000000
12910,216.000000
12961,218.000000
13027,220.000000
13077,222.000000
13144,224.000000
13194,226.000000
13245,227.000000
13294,229.000000
13360,231.000000
13410,232.000000
13477,234.000000
13527,236.000000
13744,241.000000
13861,240.000000
13977,223.000000
14211,189.000000
14945,117.000000
15229,115.000000
15846,84.000000
15962,75.000000
16897,75.000000
17013,74.000000
17230,72.000000
18698,68.000000
19298,72.000000
20915,80.000000
22484,134.000000
23285,174.000000
23452,174.000000
24703,206.000000
24903,211.000000
25295,224.000000
25520,230.000000
25804,237.000000
26187,243.000000
26284,245.000000
26721,252.000000
27005,257.000000
27505,241.000000
28301,143.000000
28406,142.000000
28573,141.000000
28806,139.000000
29573,129.000000
30708,131.000000
31258,139.000000
31375,142.000000
32192,155.000000
33193,118.000000
33310,108.000000
33593,87.000000
34478,83.000000
34861,88.000000
35362,96.000000
36029,113.000000
36312,121.000000
37013,139.000000
37347,147.000000
37897,155.000000
38080,157.000000
38247,159.000000
41267,174.000000
43268,213.000000
43702,220.000000
44202,212.000000
46204,143.000000
47004,165.000000
47588,189.000000
48322,214.000000
48756,226.000000
50991,265.000000
51108,266.000000
52042,272.000000
52275,240.000000
52509,211.000000
52559,211.000000
52826,206.000000
53260,196.000000
54844,150.000000
55011,149.000000
55228,149.000000
55928,148.000000
56245,145.000000
56412,143.000000
56763,140.000000
57480,133.000000
58264,131.000000
59214,138.000000
59431,139.000000
59531,139.000000
60465,144.000000
60582,145.000000
61049,147.000000
61550,151.000000
62434,157.000000
62534,158.000000
64519,181.000000
64736,189.000000
66787,243.000000
66904,246.000000
67454,256.000000
69356,262.000000
71408,131.000000
72025,124.000000
73359,136.000000
74360,168.000000
74927,184.000000
75278,192.000000
76011,207.000000
77096,232.000000
78980,263.000000
79881,273.000000
80098,275.000000
80882,281.000000
82200,286.000000
82951,287.000000
83301,288.000000
83401,288.000000
83618,289.000000
85002,292.000000
86420,294.000000
86854,294.000000
87404,295.000000
87971,296.000000
88188,296.000000
88889,214.000000
89122,183.000000
89222,179.000000
89572,174.000000
89923,167.000000
90423,159.000000
91240,158.000000
91758,166.000000
92041,170.000000
94577,226.000000
95894,252.000000
96728,263.000000
98063,276.000000
99931,285.000000
101508,290.000000
101616,291.000000
102200,292.000000
102366,292.000000
104718,295.000000
105869,283.000000
106753,157.000000
107304,127.000000
108021,121.000000
109706,109.000000
110256,107.000000
110540,106.000000
111190,111.000000
115007,239.000000
116212,259.000000
117078,270.000000
117812,277.000000
118580,282.000000
118796,284.000000
119197,286.000000
119414,287.000000
119580,288.000000
119814,289.000000
120981,292.000000
122533,295.000000
122749,295.000000
123016,295.000000
