time,throttle
16,0.000000
33,0.000000
100,0.000000
150,0.000000
200,0.000000
245,0.000000
300,0.000000
367,0.000000
417,0.000000
467,0.000000
517,0.376471
567,0.968627
633,0.890196
683,0.192157
750,0.000000
800,0.000000
850,0.000000
900,0.086275
951,0.164706
1001,0.168627
1067,0.176471
1102,0.164706
1167,0.000000
1217,0.000000
1284,0.000000
1334,0.000000
1401,0.007843
1451,0.019608
1501,0.066667
1567,0.141176
1618,0.164706
1668,0.164706
1734,0.164706
1785,0.164706
1851,0.203922
1901,0.219608
1951,0.243137
2014,0.243137
2051,0.247059
2118,0.247059
2168,0.258824
2218,0.364706
2268,0.400000
2335,0.400000
2385,0.400000
2435,0.400000
2485,0.400000
2536,0.352941
2582,0.352941
2652,0.352941
2702,0.352941
2752,0.352941
2818,0.352941
2868,0.352941
2919,0.352941
2969,0.352941
3019,0.352941
3085,0.352941
3135,0.352941
3186,0.352941
3252,0.352941
3302,0.352941
3369,0.352941
3419,0.352941
3486,0.356863
3536,0.356863
3603,0.356863
3653,0.356863
3702,0.356863
3769,0.356863
3819,0.356863
3886,0.356863
3936,0.360784
3986,0.364706
4036,0.364706
4103,0.368627
4153,0.368627
4203,0.372549
4270,0.372549
4320,0.372549
4386,0.372549
4436,0.372549
4503,0.372549
4553,0.372549
4603,0.372549
4670,0.372549
4720,0.372549
4787,0.372549
4837,0.372549
4887,0.372549
4954,0.372549
5003,0.372549
5070,0.376471
5120,0.376471
5187,0.376471
5237,0.376471
5304,0.376471
5354,0.376471
5404,0.376471
5471,0.376471
5521,0.376471
5587,0.376471
5637,0.364706
5687,0.105882
5754,0.078431
5804,0.168627
5854,0.231373
5921,0.231373
5971,0.231373
6021,0.227451
6071,0.223529
6138,0.180392
6188,0.015686
6255,0.000000
6305,0.000000
6355,0.000000
6405,0.054902
6471,0.133333
6522,0.160784
6588,0.176471
6638,0.180392
6688,0.180392
6738,0.180392
6805,0.180392
6855,0.180392
6922,0.243137
6970,0.258824
7039,0.270588
7090,0.282353
7140,0.313726
7205,0.333333
7255,0.337255
7306,0.337255
7355,0.337255
7422,0.337255
7472,0.337255
7519,0.337255
7572,0.337255
7639,0.337255
7689,0.337255
7756,0.372549
7806,0.403922
7856,0.423529
7923,0.458824
7973,0.470588
8023,0.505882
8073,0.529412
8140,0.564706
8190,0.611765
8240,0.717647
8306,0.823529
8357,0.874510
8407,0.886275
8473,0.905882
8524,0.909804
8573,0.933333
8640,1.000000
8690,1.000000
8757,1.000000
8816,1.000000
8873,1.000000
8923,1.000000
8990,1.000000
9040,1.000000
9090,0.890196
9140,0.039216
9207,0.000000
9257,0.000000
9307,0.525490
9357,0.823529
9407,0.890196
9474,0.905882
9524,0.905882
9574,0.905882
9641,0.905882
9691,0.905882
9757,0.909804
9808,0.921569
9858,0.925490
9924,0.929412
9974,0.933333
10041,0.984314
10092,1.000000
10141,1.000000
10208,1.000000
10258,1.000000
10324,1.000000
10375,1.000000
10425,1.000000
10491,1.000000
10541,1.000000
10591,1.000000
10658,1.000000
10708,1.000000
10775,1.000000
10826,1.000000
10892,1.000000
10942,1.000000
10992,1.000000
11042,1.000000
11109,1.000000
11158,1.000000
11225,1.000000
11275,1.000000
11325,1.000000
11393,1.000000
11423,1.000000
11492,1.000000
11542,1.000000
11592,1.000000
11642,1.000000
11709,1.000000
11759,1.000000
11826,1.000000
11876,1.000000
11943,1.000000
11976,1.000000
12026,1.000000
12093,1.000000
12143,1.000000
12193,1.000000
12260,1.000000
12294,1.000000
12360,1.000000
12410,1.000000
12460,1.000000
12526,1.000000
12576,1.000000
12627,1.000000
12693,1.000000
12743,1.000000
12793,1.000000
12860,1.000000
12910,1.000000
12961,1.000000
13027,1.000000
13077,1.000000
13144,1.000000
13194,1.000000
13245,1.000000
13294,1.000000
13360,1.000000
13410,1.000000
13477,1.000000
13527,1.000000
13744,1.000000
13861,0.184314
13977,0.000000
14211,0.000000
14945,0.000000
15229,0.000000
15846,0.000000
15962,0.000000
16897,0.000000
17013,0.000000
17230,0.000000
18698,0.086275
19298,0.243137
20915,0.250980
22484,1.000000
23285,1.000000
23452,0.996078
24703,0.996078
24903,0.996078
25295,1.000000
25520,0.996078
25804,0.996078
26187,1.000000
26284,0.996078
26721,0.996078
27005,0.996078
27505,0.000000
28301,0.000000
28406,0.000000
28573,0.000000
28806,0.000000
29573,0.117647
30708,0.423529
31258,0.447059
31375,0.447059
32192,0.376471
33193,0.000000
33310,0.000000
33593,0.000000
34478,0.117647
34861,0.231373
35362,0.235294
36029,0.509804
36312,0.509804
37013,0.474510
37347,0.474510
37897,0.372549
38080,0.380392
38247,0.380392
41267,0.607843
43268,0.796078
43702,0.784314
44202,0.000000
46204,0.556863
47004,0.749020
47588,1.000000
48322,1.000000
48756,1.000000
50991,1.000000
51108,1.000000
52042,0.000000
52275,0.000000
52509,0.000000
52559,0.000000
52826,0.000000
53260,0.000000
54844,0.000000
55011,0.160784
55228,0.156863
55928,0.000000
56245,0.000000
56412,0.000000
56763,0.000000
57480,0.000000
58264,0.258824
59214,0.301961
59431,0.301961
59531,0.301961
60465,0.305882
60582,0.305882
61049,0.309804
61550,0.321569
62434,0.345098
62534,0.345098
64519,0.886275
64736,0.964706
66787,1.000000
66904,1.000000
67454,1.000000
69356,0.000000
71408,0.000000
72025,0.062745
73359,0.294118
74360,0.760784
74927,0.768627
75278,0.772549
76011,0.784314
77096,1.000000
78980,1.000000
79881,1.000000
80098,1.000000
80882,1.000000
82200,1.000000
82951,1.000000
83301,1.000000
83401,1.000000
83618,1.000000
85002,1.000000
86420,1.000000
86854,1.000000
87404,1.000000
87971,1.000000
88188,1.000000
88889,0.000000
89122,0.000000
89222,0.000000
89572,0.133333
89923,0.000000
90423,0.000000
91240,0.462745
91758,0.533333
92041,0.560784
94577,0.898039
95894,1.000000
96728,1.000000
98063,1.000000
99931,1.000000
101508,1.000000
101616,1.000000
102200,1.000000
102366,1.000000
104718,1.000000
105869,0.000000
106753,0.000000
107304,0.000000
108021,0.031373
109706,0.078431
110256,0.109804
110540,0.113725
111190,0.364706
115007,1.000000
116212,1.000000
117078,1.000000
117812,1.000000
118580,1.000000
118796,1.000000
119197,1.000000
119414,1.000000
119580,1.000000
119814,1.000000
120981,1.000000
122533,1.000000
122749,1.000000
123016,1.000000
